series,year,driver_name,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate
F2,2001,N. de Vries,Racing Engineering,4,0.0,,9.25,2.0,18.0,0,0.0,1,0.25,0,0.0,2,0.5,70.0,212.4665,7.182153808805082,,,
F2,2001,O. Bearman,PREMA Racing,4,0.0,,4.25,1.0,8.0,1,0.25,2,0.5,0,0.0,4,1.0,75.0,197.8125,3.304037933599835,,,
F2,2001,O. Caldwell,Campos Racing,4,0.0,,16.5,15.0,18.0,0,0.0,0,0.0,0,0.0,0,0.0,75.0,193.89675,1.2909944487358056,,,
F2,2001,O. Rowland,DAMS,3,0.0,,10.0,6.0,13.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,47.0,223.75699999999998,3.605551275463989,,,
F2,2001,R. Boschung,Campos Racing,10,0.0,,13.4,9.0,19.0,0,0.0,0,0.0,0,0.0,2,0.2,172.0,206.02669999999998,3.2386554137309655,,,
F2,2001,R. Merhi,Rapax,4,0.0,,9.0,5.0,15.0,0,0.0,0,0.0,0,0.0,2,0.5,69.0,213.0805,4.898979485566356,,,
F2,2001,R. Nissany,DAMS,3,0.0,,10.666666666666666,7.0,14.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,45.0,197.60333333333332,3.5118845842842465,,,
F2,2001,R. Nissany,PHM Racing by Charouz,3,0.0,,12.666666666666666,6.0,17.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,55.0,202.99300000000002,5.8594652770823155,,,
F2,2001,R. Stanek,Trident,4,0.0,,9.25,3.0,16.0,0,0.0,1,0.25,0,0.0,3,0.75,79.0,197.47424999999998,5.377421934967226,,,
F2,2001,R. Verschoor,Trident,4,0.0,,14.0,10.0,17.0,0,0.0,0,0.0,0,0.0,1,0.25,73.0,194.4035,2.943920288775949,,,
F2,2001,R. Verschoor,Van Amersfoort Racing,4,0.0,,7.0,3.0,13.0,0,0.0,2,0.5,0,0.0,3,0.75,77.0,197.91075,4.898979485566356,,,
F2,2001,R. Visoiu,Campos Racing,4,0.0,,18.0,16.0,19.0,0,0.0,0,0.0,0,0.0,0,0.0,70.0,210.88524999999998,1.4142135623730947,,,
F2,2001,S. Ferrucci,Trident,3,0.0,,13.333333333333334,9.0,17.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,50.0,223.21166666666667,4.041451884327381,,,
F2,2001,S. Gelael,Pertamina Arden,4,0.0,,12.25,5.0,20.0,0,0.0,0,0.0,0,0.0,2,0.5,69.0,212.05975,7.847504911329036,,,
F2,2001,S. Sette Câmara,MP Motorsport,4,0.0,,9.0,2.0,16.0,0,0.0,1,0.25,0,0.0,2,0.5,70.0,213.19425,6.2182527020592095,,,
F2,2001,T. Pourchaire,ART Grand Prix,8,0.0,,3.375,1.0,5.0,1,0.125,3,0.375,0,0.0,8,1.0,151.0,197.465875,1.3024701806293193,,,
F2,2001,V. Martins,ART Grand Prix,3,0.0,,2.6666666666666665,1.0,5.0,1,0.3333333333333333,2,0.6666666666666666,0,0.0,3,1.0,47.0,209.94366666666667,2.0816659994661326,,,
F2,2001,Z. Maloney,Carlin,3,0.0,,13.0,5.0,20.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,48.0,208.63133333333334,7.54983443527075,,,
F2,2002,A. Cordeel,Invicta Virtuosi Racing,4,0.0,,14.75,10.0,19.0,0,0.0,0,0.0,0,0.0,1,0.25,91.0,179.8965,4.031128874149275,,,
F2,2002,A. Cordeel,Van Amersfoort Racing,4,0.0,,9.5,6.0,12.0,0,0.0,0,0.0,0,0.0,2,0.5,97.0,163.46925,3.0,,,
F2,2002,A. Hubert,BWT Arden,4,0.0,,8.5,3.0,11.0,0,0.0,1,0.25,0,0.0,2,0.5,95.0,159.3545,3.7859388972001824,,,
F2,2002,A. Iwasa,DAMS,8,0.0,,4.75,2.0,8.0,0,0.0,2,0.25,0,0.0,8,1.0,180.0,172.667125,1.9086270308410551,,,
F2,2002,A. Leclerc,DAMS,4,0.0,,12.0,9.0,17.0,0,0.0,0,0.0,0,0.0,2,0.5,86.0,180.6485,3.8297084310253524,,,
F2,2002,A. Maini,Campos Racing,3,0.0,,15.666666666666666,15.0,16.0,0,0.0,0,0.0,0,0.0,0,0.0,58.0,159.73633333333333,0.5773502691896258,,,
F2,2002,B. Benavides,PHM Racing by Charouz,4,0.0,,19.5,15.0,22.0,0,0.0,0,0.0,0,0.0,0,0.0,87.0,177.63175,3.3166247903553994,,,
F2,2002,C. Ilott,Sauber Junior Team by Charouz,4,0.0,,9.0,6.0,10.0,0,0.0,0,0.0,0,0.0,4,1.0,95.0,159.46925,1.9999999999999998,,,
F2,2002,C. Novalak,MP Motorsport,3,0.0,,9.666666666666666,2.0,17.0,0,0.0,1,0.3333333333333333,0,0.0,2,0.6666666666666666,59.0,179.91866666666667,7.505553499465135,,,
F2,2002,C. Novalak,Trident,4,0.0,,16.75,11.0,21.0,0,0.0,0,0.0,0,0.0,0,0.0,84.0,179.383,4.349329450233296,,,
F2,2002,C. Williams,Trident,4,0.0,,16.0,11.0,20.0,0,0.0,0,0.0,0,0.0,0,0.0,96.0,162.822,3.9157800414902435,,,
F2,2002,D. Beckmann,Van Amersfoort Racing,4,0.0,,15.0,12.0,18.0,0,0.0,0,0.0,0,0.0,0,0.0,91.0,162.9445,2.5819888974716116,,,
F2,2002,D. Hauger,MP Motorsport,4,0.0,,5.5,4.0,8.0,0,0.0,0,0.0,0,0.0,4,1.0,83.0,181.32,1.914854215512676,,,
F2,2002,D. Hauger,PREMA Racing,4,0.0,,4.75,3.0,7.0,0,0.0,1,0.25,0,0.0,4,1.0,93.0,163.79149999999998,1.707825127659933,,,
F2,2002,E. Fittipaldi,Carlin,4,0.0,,4.75,2.0,10.0,0,0.0,2,0.5,0,0.0,4,1.0,81.0,181.63375,3.774917217635375,,,
F2,2002,E. Fittipaldi,Charouz Racing System,4,0.0,,13.0,5.0,21.0,0,0.0,0,0.0,0,0.0,1,0.25,96.0,162.82750000000001,6.531972647421808,,,
F2,2002,F. Drugovich,MP Motorsport,4,0.0,,3.75,1.0,10.0,2,0.5,3,0.75,0,0.0,4,1.0,97.0,164.16925,4.272001872658766,,,
F2,2002,F. Vesti,ART Grand Prix,4,0.0,,10.5,6.0,14.0,0,0.0,0,0.0,0,0.0,1,0.25,89.0,163.4425,3.3166247903553994,,,
F2,2002,F. Vesti,PREMA Racing,4,0.0,,3.75,1.0,8.0,2,0.5,2,0.5,0,0.0,4,1.0,81.0,181.74175,3.4034296427770228,,,
F2,2002,G. Alesi,Trident,4,0.0,,13.25,12.0,14.0,0,0.0,0,0.0,0,0.0,0,0.0,95.0,158.63299999999998,0.957427107756338,,,
F2,2002,G. Zhou,UNI-Virtuosi,4,0.0,,8.25,5.0,10.0,0,0.0,0,0.0,0,0.0,4,1.0,94.0,159.5245,2.217355782608345,,,
F2,2002,I. Hadjar,Hitech Pulse-Eight,4,0.0,,15.75,11.0,20.0,0,0.0,0,0.0,0,0.0,0,0.0,85.0,179.53025,4.924428900898052,,,
F2,2002,J. Aitken,Campos Racing,4,0.0,,5.25,3.0,7.0,0,0.0,1,0.25,0,0.0,4,1.0,94.0,159.98925,1.7078251276599332,,,
F2,2002,J. Correa,Sauber Junior Team by Charouz,4,0.0,,13.25,12.0,14.0,0,0.0,0,0.0,0,0.0,0,0.0,96.0,158.808,0.9574271077563381,,,
F2,2002,J. Correa,Van Amersfoort Racing,3,0.0,,12.0,11.0,14.0,0,0.0,0,0.0,0,0.0,0,0.0,58.0,189.85266666666666,1.7320508075688772,,,
F2,2002,J. Crawford,Hitech Pulse-Eight,3,0.0,,14.0,9.0,20.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,57.0,189.364,5.5677643628300215,,,
F2,2002,J. Daruvala,MP Motorsport,4,0.0,,12.75,3.0,19.0,0,0.0,1,0.25,0,0.0,1,0.25,81.0,180.46975,6.849574196011505,,,
F2,2002,J. Daruvala,PREMA Racing,4,0.0,,13.5,10.0,17.0,0,0.0,0,0.0,0,0.0,1,0.25,93.0,162.998,3.5118845842842465,,,
F2,2002,J. Doohan,Invicta Virtuosi Racing,4,0.0,,5.5,3.0,8.0,0,0.0,1,0.25,0,0.0,4,1.0,83.0,181.40325,2.0816659994661326,,,
F2,2002,J. Doohan,Virtuosi Racing,3,0.0,,4.0,1.0,9.0,1,0.3333333333333333,2,0.6666666666666666,0,0.0,3,1.0,54.0,181.12666666666667,4.358898943540674,,,
F2,2002,J. King,MP Motorsport,4,0.0,,6.25,4.0,11.0,0,0.0,0,0.0,0,0.0,3,0.75,93.0,159.7435,3.304037933599835,,,
F2,2002,J. Vips,Hitech Grand Prix,4,0.0,,8.5,5.0,14.0,0,0.0,0,0.0,0,0.0,3,0.75,93.0,163.3755,3.872983346207417,,,
F2,2002,K. Maini,Campos Racing,4,0.0,,17.5,14.0,21.0,0,0.0,0,0.0,0,0.0,0,0.0,92.0,179.15175,2.886751345948129,,,
F2,2002,L. Delétraz,Carlin,3,0.0,,9.666666666666666,5.0,13.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,61.0,160.90933333333334,4.163331998932266,,,
F2,2002,L. Ghiotto,UNI-Virtuosi,4,0.0,,5.5,2.0,8.0,0,0.0,1,0.25,0,0.0,4,1.0,95.0,160.03449999999998,3.0,,,
F2,2002,L. Lawson,Carlin,4,0.0,,6.5,4.0,12.0,0,0.0,0,0.0,0,0.0,3,0.75,95.0,163.7545,3.7859388972001824,,,
F2,2002,L. Sargeant,Carlin,3,0.0,,6.0,3.0,8.0,0,0.0,1,0.3333333333333333,0,0.0,3,1.0,57.0,180.53,2.6457513110645907,,,
F2,2002,M. Armstrong,Hitech Grand Prix,4,0.0,,9.75,1.0,16.0,1,0.25,1,0.25,0,0.0,2,0.5,94.0,163.32025,6.5,,,
F2,2002,M. Raghunathan,MP Motorsport,4,0.0,,18.5,17.0,19.0,0,0.0,0,0.0,0,0.0,0,0.0,95.0,156.41125,1.0000000000000002,,,
F2,2002,M. Sato,Virtuosi Racing,3,0.0,,15.666666666666666,13.0,19.0,0,0.0,0,0.0,0,0.0,0,0.0,58.0,179.49433333333332,3.055050463303893,,,
F2,2002,M. Schumacher,PREMA Racing,4,0.0,,3.75,1.0,8.0,1,0.25,2,0.5,0,0.0,4,1.0,94.0,160.07524999999998,3.095695936834452,,,
F2,2002,N. Latifi,DAMS,4,0.0,,5.75,1.0,12.0,1,0.25,2,0.5,0,0.0,3,0.75,96.0,159.88575,4.856267428111155,,,
F2,2002,N. Matsushita,Carlin,4,0.0,,6.5,2.0,9.0,0,0.0,1,0.25,0,0.0,4,1.0,97.0,159.79175,3.1091263510296048,,,
F2,2002,N. Mazepin,ART Grand Prix,3,0.0,,14.0,12.0,15.0,0,0.0,0,0.0,0,0.0,0,0.0,82.0,164.61233333333334,1.7320508075688772,,,
F2,2002,N. de Vries,ART Grand Prix,4,0.0,,2.5,1.0,6.0,2,0.5,3,0.75,0,0.0,4,1.0,95.0,160.49450000000002,2.3804761428476167,,,
F2,2002,O. Bearman,PREMA Racing,4,0.0,,2.75,1.0,7.0,2,0.5,3,0.75,0,0.0,4,1.0,81.0,181.97475,2.872281323269014,,,
F2,2002,O. Caldwell,Campos Racing,3,0.0,,15.0,8.0,19.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,65.0,160.80566666666667,6.082762530298219,,,
F2,2002,R. Boschung,Campos Racing,8,0.0,,16.625,12.0,21.0,0,0.0,0,0.0,0,0.0,0,0.0,188.0,171.14625,2.8753881725529062,,,
F2,2002,R. Boschung,Trident,4,0.0,,17.5,16.0,18.0,0,0.0,0,0.0,0,0.0,0,0.0,84.0,158.6475,0.9999999999999997,,,
F2,2002,R. Nissany,DAMS,4,0.0,,16.25,14.0,19.0,0,0.0,0,0.0,0,0.0,0,0.0,97.0,162.8615,2.217355782608345,,,
F2,2002,R. Nissany,PHM Racing by Charouz,4,0.0,,18.0,16.0,20.0,0,0.0,0,0.0,0,0.0,0,0.0,86.0,179.58,1.632993161855452,,,
F2,2002,R. Stanek,Trident,4,0.0,,14.5,12.0,18.0,0,0.0,0,0.0,0,0.0,0,0.0,85.0,180.2275,2.6457513110645907,,,
F2,2002,R. Verschoor,Trident,4,0.0,,5.75,2.0,10.0,0,0.0,1,0.25,0,0.0,4,1.0,97.0,163.74125,3.5,,,
F2,2002,R. Verschoor,Van Amersfoort Racing,4,0.0,,9.25,6.0,12.0,0,0.0,0,0.0,0,0.0,3,0.75,87.0,180.85475,2.5,,,
F2,2002,S. Gelael,PREMA Racing,4,0.0,,16.5,15.0,17.0,0,0.0,0,0.0,0,0.0,0,0.0,81.0,157.95775,1.0000000000000002,,,
F2,2002,S. Sette Câmara,DAMS,4,0.0,,7.0,3.0,13.0,0,0.0,1,0.25,0,0.0,3,0.75,94.0,159.66325,4.320493798938574,,,
F2,2002,T. Calderón,BWT Arden,3,0.0,,18.0,16.0,20.0,0,0.0,0,0.0,0,0.0,0,0.0,67.0,154.15633333333332,2.0,,,
F2,2002,T. Calderón,Charouz Racing System,2,0.0,,22.0,22.0,22.0,0,0.0,0,0.0,0,0.0,0,0.0,29.0,181.5625,0.0,,,
F2,2002,T. Pourchaire,ART Grand Prix,8,0.0,,9.375,2.0,20.0,0,0.0,1,0.125,0,0.0,6,0.75,173.0,172.25175000000002,5.878228596147944,,,
F2,2002,V. Martins,ART Grand Prix,4,0.0,,8.75,3.0,22.0,0,0.0,2,0.5,0,0.0,3,0.75,77.0,168.797,9.03234926989282,,,
F2,2002,Z. Maloney,Carlin,4,0.0,,15.25,10.0,21.0,0,0.0,0,0.0,0,0.0,1,0.25,88.0,180.05825,4.573474244670748,,,
F2,2003,A. Cordeel,Invicta Virtuosi Racing,4,0.0,,18.25,15.0,22.0,0,0.0,0,0.0,0,0.0,0,0.0,74.0,178.32075,3.774917217635374,,,
