driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s
78A. SmolyarSMOART Grand Prix,22,43:57.444,3.220,0.496,131.502,1:52.220,19,1014,2020,ROUND3Summary,,,78,A  Smolyar,SMO,ART Grand Prix,2637.444,112.22,3.22
89S. FernándezFERART Grand Prix,22,43:57.818,3.594,0.374,131.484,1:53.080,19,1014,2020,ROUND3Summary,,,89,S  Fernández,FER,ART Grand Prix,2637.818,113.08,3.594
914E. FittipaldiFITHWA RACELAB,22,43:58.163,3.939,0.345,131.466,1:52.686,14,1014,2020,ROUND3Summary,,,914,E  Fittipaldi,FIT,HWA RACELAB,2638.163,112.686,3.939
1029A. PeroniPERCampos Racing,22,43:58.889,4.665,0.726,131.43,1:52.972,19,1014,2020,ROUND3Summary,,,1029,A  Peroni,PER,Campos Racing,2638.889,112.972,4.665
114M. FewtrellFEWHitech Grand Prix,22,43:59.782,5.558,0.893,131.386,1:53.903,4,1014,2020,ROUND3Summary,,,114,M  Fewtrell,FEW,Hitech Grand Prix,2639.782,113.903,5.558
1226C. NovalakNOVCarlin Buzz Racing,22,44:00.135,5.911,0.353,131.368,1:53.253,7,1014,2020,ROUND3Summary,,,1226,C  Novalak,NOV,Carlin Buzz Racing,2640.135,113.253,5.911
1325D. SchumacherSCHCharouz Racing System,22,44:00.575,6.351,0.440,131.346,1:54.290,17,1014,2020,ROUND3Summary,,,1325,D  Schumacher,SCH,Charouz Racing System,2640.575,114.29,6.351
1431S. FloerschFLOCampos Racing,22,44:01.808,7.584,1.233,131.285,1:53.802,15,1014,2020,ROUND3Summary,,,1431,S  Floersch,FLO,Campos Racing,2641.808,113.802,7.584
1520C. WilliamsWILJenzer Motorsport,22,44:02.382,8.158,0.574,131.257,1:52.450,16,1014,2020,ROUND3Summary,,,1520,C  Williams,WIL,Jenzer Motorsport,2642.382,112.45,8.158
1610L. ZendeliZENTrident,22,44:03.477,9.253,1.095,131.202,1:52.876,18,1014,2020,ROUND3Summary,,,1610,L  Zendeli,ZEN,Trident,2643.477,112.876,9.253
1718B. ViscaalVISMP Motorsport,22,44:03.601,9.377,-,131.196,1:51.321,16,1014,2020,ROUND3Summary,,,1718,B  Viscaal,VIS,MP Motorsport,2643.601,111.321,9.377
1812O. CaldwellCALTrident,22,44:04.247,10.023,0.646,131.164,1:53.413,15,1014,2020,ROUND3Summary,,,1812,O  Caldwell,CAL,Trident,2644.247,113.413,10.023
1915J. HughesHUGHWA RACELAB,22,44:05.609,11.385,1.362,131.096,1:51.374,19,1014,2020,ROUND3Summary,,,1915,J  Hughes,HUG,HWA RACELAB,2645.609,111.374,11.385
2023R. StanekSTACharouz Racing System,22,44:06.455,12.231,0.846,131.055,1:54.011,19,1014,2020,ROUND3Summary,,,2023,R  Stanek,STA,Charouz Racing System,2646.455,114.011,12.231
2127E. AhmedAHMCarlin Buzz Racing,22,44:18.878,24.654,12.423,130.442,1:55.282,5,1014,2020,ROUND3Summary,,,2127,E  Ahmed,AHM,Carlin Buzz Racing,2658.878,115.282,24.654
2228C. DasDASCarlin Buzz Racing,22,44:44.194,49.970,25.316,129.212,1:54.156,11,1014,2020,ROUND3Summary,,,2228,C  Das,DAS,Carlin Buzz Racing,2684.194,114.156,49.97
2330A. DeleddaDELCampos Racing,22,44:45.274,51.050,1.080,129.16,1:54.783,17,1014,2020,ROUND3Summary,,,2330,A  Deledda,DEL,Campos Racing,2685.274,114.783,51.05
2422M. NanniniNANJenzer Motorsport,21,44:42.778,1 LAP,1 LAP,123.401,1:52.760,18,1014,2020,ROUND3Summary,,,2422,M  Nannini,NAN,Jenzer Motorsport,2682.778,112.76,
2516J. DoohanDOOHWA RACELAB,22,46:05.976,121.7,60.702,126.305,1:52.631,14,1014,2020,ROUND3Summary,,,2516,J  Doohan,DOO,HWA RACELAB,2765.976,112.631,121.7
DNF21F. MalvestitiMALJenzer Motorsport,19,37:14.682,DNF,-,134.03,1:54.034,16,1014,2020,ROUND3Summary,,DNF,21,F  Malvestiti,MAL,Jenzer Motorsport,2234.682,114.034,
DNF2F. VestiVESPREMA Racing,12,23:56.084,DNF,-,131.688,1:54.408,5,1014,2020,ROUND3Summary,,DNF,2,F  Vesti,VES,PREMA Racing,1436.084,114.408,
DNF5L. LawsonLAWHitech Grand Prix,7,13:32.747,DNF,-,135.659,1:53.068,4,1014,2020,ROUND3Summary,,DNF,5,L  Lawson,LAW,Hitech Grand Prix,812.747,113.068,
DNF24I. FragaFRACharouz Racing System,2,4:41.824,DNF,-,111.414,-,-,1014,2020,ROUND3Summary,,DNF,24,I  Fraga,FRA,Charouz Racing System,281.824,,
DNF19L. DunnerDUNMP Motorsport,1,2:33.110,DNF,-,102.067,-,-,1014,2020,ROUND3Summary,,DNF,19,L  Dunner,DUN,MP Motorsport,153.11,,
111D. BeckmannBECTrident,20,39:10.052,-,-,180.28,1:46.816,20,1020,2020,ROUND4Summary,,,111,D  Beckmann,BEC,Trident,2350.052,106.816,
226C. NovalakNOVCarlin Buzz Racing,20,39:10.478,0.426,0.426,180.248,1:46.664,18,1020,2020,ROUND4Summary,,,226,C  Novalak,NOV,Carlin Buzz Racing,2350.478,106.664,0.426
329A. PeroniPERCampos Racing,20,39:11.037,0.985,0.559,180.205,1:46.737,18,1020,2020,ROUND4Summary,,,329,A  Peroni,PER,Campos Racing,2351.037,106.737,0.985
42F. VestiVESPREMA Racing,20,39:11.552,1.500,0.515,180.165,1:46.690,18,1020,2020,ROUND4Summary,,,42,F  Vesti,VES,PREMA Racing,2351.552,106.69,1.5
53L. SargeantSARPREMA Racing,20,39:11.944,1.892,0.392,180.135,1:45.968,20,1020,2020,ROUND4Summary,,,53,L  Sargeant,SAR,PREMA Racing,2351.944,105.968,1.892
68A. SmolyarSMOART Grand Prix,20,39:14.312,4.260,2.368,180.337,1:46.811,20,1020,2020,ROUND4Summary,,,68,A  Smolyar,SMO,ART Grand Prix,2354.312,106.811,4.26
75L. LawsonLAWHitech Grand Prix,20,39:15.760,5.708,3.816,179.844,1:47.027,20,1020,2020,ROUND4Summary,,,75,L  Lawson,LAW,Hitech Grand Prix,2355.76,107.027,5.708
87T. PourchairePOUART Grand Prix,20,39:16.303,6.251,0.543,179.802,1:46.836,19,1020,2020,ROUND4Summary,,,87,T  Pourchaire,POU,ART Grand Prix,2356.303,106.836,6.251
917R. VerschoorVERMP Motorsport,20,39:16.913,6.861,0.610,179.756,1:47.137,13,1020,2020,ROUND4Summary,,,917,R  Verschoor,VER,MP Motorsport,2356.913,107.137,6.861
1015J. HughesHUGHWA RACELAB,20,39:17.201,7.149,0.288,179.734,1:47.028,11,1020,2020,ROUND4Summary,,,1015,J  Hughes,HUG,HWA RACELAB,2357.201,107.028,7.149
1110L. ZendeliZENTrident,20,39:17.670,7.618,0.469,179.698,1:46.643,19,1020,2020,ROUND4Summary,,,1110,L  Zendeli,ZEN,Trident,2357.67,106.643,7.618
1227B. BarnicoatBARCarlin Buzz Racing,20,39:21.050,10.998,3.380,179.441,1:47.000,20,1020,2020,ROUND4Summary,,,1227,B  Barnicoat,BAR,Carlin Buzz Racing,2361.05,107.0,10.998
1321F. MalvestitiMALJenzer Motorsport,20,39:23.075,13.023,2.025,179.287,1:47.228,17,1020,2020,ROUND4Summary,,,1321,F  Malvestiti,MAL,Jenzer Motorsport,2363.075,107.228,13.023
1420C. WilliamsWILJenzer Motorsport,20,39:23.669,13.617,0.594,179.242,1:47.265,18,1020,2020,ROUND4Summary,,,1420,C  Williams,WIL,Jenzer Motorsport,2363.669,107.265,13.617
1525D. SchumacherSCHCharouz Racing System,20,39:23.958,13.906,0.289,179.22,1:46.765,19,1020,2020,ROUND4Summary,,,1525,D  Schumacher,SCH,Charouz Racing System,2363.958,106.765,13.906
1618B. ViscaalVISMP Motorsport,20,39:26.646,16.594,2.688,179.016,1:46.936,20,1020,2020,ROUND4Summary,,,1618,B  Viscaal,VIS,MP Motorsport,2366.646,106.936,16.594
176D. HaugerHAUHitech Grand Prix,20,39:27.904,17.852,1.258,178.921,1:47.062,18,1020,2020,ROUND4Summary,,,176,D  Hauger,HAU,Hitech Grand Prix,2367.904,107.062,17.852
1823R. StanekSTACharouz Racing System,20,39:28.408,18.356,0.504,178.883,1:47.503,13,1020,2020,ROUND4Summary,,,1823,R  Stanek,STA,Charouz Racing System,2368.408,107.503,18.356
1914E. FittipaldiFITHWA RACELAB,20,39:28.650,18.598,0.242,178.865,1:47.174,20,1020,2020,ROUND4Summary,,,1914,E  Fittipaldi,FIT,HWA RACELAB,2368.65,107.174,18.598
204M. FewtrellFEWHitech Grand Prix,20,39:30.573,20.521,1.923,178.72,1:47.147,20,1020,2020,ROUND4Summary,,,204,M  Fewtrell,FEW,Hitech Grand Prix,2370.573,107.147,20.521
219S. FernándezFERART Grand Prix,20,39:31.600,21.548,0.294,178.642,1:47.533,12,1020,2020,ROUND4Summary,,,219,S  Fernández,FER,ART Grand Prix,2371.6,107.533,21.548
2219L. DunnerDUNMP Motorsport,20,39:32.175,22.123,0.575,178.599,1:47.608,12,1020,2020,ROUND4Summary,,,2219,L  Dunner,DUN,MP Motorsport,2372.175,107.608,22.123
2322M. NanniniNANJenzer Motorsport,20,39:32.676,22.624,0.501,178.561,1:47.410,17,1020,2020,ROUND4Summary,,,2322,M  Nannini,NAN,Jenzer Motorsport,2372.676,107.41,22.624
2428C. DasDASCarlin Buzz Racing,20,39:35.308,25.256,2.632,178.364,1:47.700,12,1020,2020,ROUND4Summary,,,2428,C  Das,DAS,Carlin Buzz Racing,2375.308,107.7,25.256
2531S. FloerschFLOCampos Racing,20,39:31.306,26.254,0.733,178.665,1:47.737,18,1020,2020,ROUND4Summary,,,2531,S  Floersch,FLO,Campos Racing,2371.306,107.737,26.254
2612O. CaldwellCALTrident,20,39:37.790,27.738,2.482,178.177,1:47.902,17,1020,2020,ROUND4Summary,,,2612,O  Caldwell,CAL,Trident,2377.79,107.902,27.738
2716J. DoohanDOOHWA RACELAB,20,39:38.986,28.934,1.196,178.088,1:48.003,15,1020,2020,ROUND4Summary,,,2716,J  Doohan,DOO,HWA RACELAB,2378.986,108.003,28.934
2830A. DeleddaDELCampos Racing,20,39:43.184,33.132,4.198,177.774,1:48.300,18,1020,2020,ROUND4Summary,,,2830,A  Deledda,DEL,Campos Racing,2383.184,108.3,33.132
DNF1O. PiastriPIAPREMA Racing,11,23:36.542,DNF,-,164.344,1:47.721,4,1020,2020,ROUND4Summary,,DNF,1,O  Piastri,PIA,PREMA Racing,1416.542,107.721,
DNF24I. FragaFRACharouz Racing System,4,7:26.677,DNF,-,188.834,1:48.761,3,1020,2020,ROUND4Summary,,DNF,24,I  Fraga,FRA,Charouz Racing System,446.677,108.761,
118B. ViscaalVISMP Motorsport,20,40:32.362,-,-,174.180,1:46.632,18,1013,2020,ROUND5Summary,,,118,B  Viscaal,VIS,MP Motorsport,2432.362,106.632,
210L. ZendeliZENTrident,20,40:32.551,0.189,0.189,174.166,1:46.784,15,1013,2020,ROUND5Summary,,,210,L  Zendeli,ZEN,Trident,2432.551,106.784,0.189
37T. PourchairePOUART Grand Prix,20,40:40.757,8.395,8.206,173.581,1:47.212,15,1013,2020,ROUND5Summary,,,37,T  Pourchaire,POU,ART Grand Prix,2440.757,107.212,8.395
411D. BeckmannBECTrident,20,40:41.191,8.829,0.434,173.550,1:47.116,15,1013,2020,ROUND5Summary,,,411,D  Beckmann,BEC,Trident,2441.191,107.116,8.829
55L. LawsonLAWHitech Grand Prix,20,40:41.210,8.848,0.019,173.549,1:47.161,9,1013,2020,ROUND5Summary,,,55,L  Lawson,LAW,Hitech Grand Prix,2441.21,107.161,8.848
61O. PiastriPIAPREMA Racing,20,40:41.588,9.226,0.378,173.522,1:47.052,8,1013,2020,ROUND5Summary,,,61,O  Piastri,PIA,PREMA Racing,2441.588,107.052,9.226
715J. HughesHUGHWA RACELAB,20,40:43.104,10.742,1.516,173.414,1:46.990,8,1013,2020,ROUND5Summary,,,715,J  Hughes,HUG,HWA RACELAB,2443.104,106.99,10.742
82F. VestiVESPREMA Racing,20,40:43.328,10.966,0.224,173.398,1:47.116,9,1013,2020,ROUND5Summary,,,82,F  Vesti,VES,PREMA Racing,2443.328,107.116,10.966
926C. NovalakNOVCarlin Buzz Racing,20,40:43.863,11.501,0.535,173.360,1:47.131,9,1013,2020,ROUND5Summary,,,926,C  Novalak,NOV,Carlin Buzz Racing,2443.863,107.131,11.501
1024I. FragaFRACharouz Racing System,20,40:55.195,22.833,1.487,172.560,1:47.536,15,1013,2020,ROUND5Summary,,,1024,I  Fraga,FRA,Charouz Racing System,2455.195,107.536,22.833
1128C. DasDASCarlin Buzz Racing,20,40:56.260,23.898,1.065,172.485,1:47.453,9,1013,2020,ROUND5Summary,,,1128,C  Das,DAS,Carlin Buzz Racing,2456.26,107.453,23.898
124M. FewtrellFEWHitech Grand Prix,20,40:56.299,23.937,0.039,172.482,1:47.490,16,1013,2020,ROUND5Summary,,,124,M  Fewtrell,FEW,Hitech Grand Prix,2456.299,107.49,23.937
139S. FernándezFERART Grand Prix,20,40:56.405,24.043,0.106,172.475,1:47.380,16,1013,2020,ROUND5Summary,,,139,S  Fernández,FER,ART Grand Prix,2456.405,107.38,24.043
148A. SmolyarSMOART Grand Prix,20,40:57.280,24.918,0.875,172.414,1:46.999,16,1013,2020,ROUND5Summary,,,148,A  Smolyar,SMO,ART Grand Prix,2457.28,106.999,24.918
1523R. StanekSTACharouz Racing System,20,40:57.803,25.441,0.523,172.377,1:47.355,14,1013,2020,ROUND5Summary,,,1523,R  Stanek,STA,Charouz Racing System,2457.803,107.355,25.441
1622M. NanniniNANJenzer Motorsport,20,40:58.369,26.007,0.566,172.337,1:47.326,14,1013,2020,ROUND5Summary,,,1622,M  Nannini,NAN,Jenzer Motorsport,2458.369,107.326,26.007
1714E. FittipaldiFITHWA RACELAB,20,40:58.708,26.34,0.339,172.665,1:47.551,15,1013,2020,ROUND5Summary,,,1714,E  Fittipaldi,FIT,HWA RACELAB,2458.708,107.551,26.34
1817R. VerschoorVERMP Motorsport,20,40:58.724,26.362,0.355,172.312,1:47.571,15,1013,2020,ROUND5Summary,,,1817,R  Verschoor,VER,MP Motorsport,2458.724,107.571,26.362
1931S. FloerschFLOCampos Racing,20,40:59.080,26.718,0.356,172.287,1:47.401,16,1013,2020,ROUND5Summary,,,1931,S  Floersch,FLO,Campos Racing,2459.08,107.401,26.718
206D. HaugerHAUHitech Grand Prix,20,40:59.538,27.176,0.458,172.255,1:47.561,16,1013,2020,ROUND5Summary,,,206,D  Hauger,HAU,Hitech Grand Prix,2459.538,107.561,27.176
2116J. DoohanDOOHWA RACELAB,20,41:00.153,27.791,0.615,172.212,1:47.263,18,1013,2020,ROUND5Summary,,,2116,J  Doohan,DOO,HWA RACELAB,2460.153,107.263,27.791
2212O. CaldwellCALTrident,20,41:00.364,28.002,0.211,172.197,1:47.481,16,1013,2020,ROUND5Summary,,,2212,O  Caldwell,CAL,Trident,2460.364,107.481,28.002
2321F. MalvestitiMALJenzer Motorsport,20,41:00.494,28.132,0.130,172.188,1:47.425,19,1013,2020,ROUND5Summary,,,2321,F  Malvestiti,MAL,Jenzer Motorsport,2460.494,107.425,28.132
2429A. PeroniPERCampos Racing,20,41:32.977,60.615,32.483,169.945,1:47.214,16,1013,2020,ROUND5Summary,,,2429,A  Peroni,PER,Campos Racing,2492.977,107.214,60.615
DNF3L. SargeantSARPREMA Racing,10,22:47.783,DNF,-,154.698,1:47.464,8,1013,2020,ROUND5Summary,,DNF,3,L  Sargeant,SAR,PREMA Racing,1367.783,107.464,
DNF27B. BarnicoatBARCarlin Buzz Racing,10,22:09.272,DNF,-,159.180,1:47.307,8,1013,2020,ROUND5Summary,,DNF,27,B  Barnicoat,BAR,Carlin Buzz Racing,1329.272,107.307,
DNF30A. DeleddaDELCampos Racing,2,6:33.906,DNF,-,106.453,-,-,1013,2020,ROUND5Summary,,DNF,30,A  Deledda,DEL,Campos Racing,393.906,,
DNF25D. SchumacherSCHCharouz Racing System,1,2:25.102,DNF,-,142.831,-,-,1013,2020,ROUND5Summary,,DNF,25,D  Schumacher,SCH,Charouz Racing System,145.102,,
DNF19L. DunnerDUNMP Motorsport,-,-,DNF,-,-,-,-,1013,2020,ROUND5Summary,,DNF,19,L  Dunner,DUN,MP Motorsport,,,
DNF20C. WilliamsWILJenzer Motorsport,-,-,DNF,-,-,-,-,1013,2020,ROUND5Summary,,DNF,20,C  Williams,WIL,Jenzer Motorsport,,,
11O. PiastriPIAPREMA Racing,22,39:52.928,-,-,153.879,1:36.081,8,1011,2020,ROUND6Summary,,,11,O  Piastri,PIA,PREMA Racing,2392.928,96.081,
229A. PeroniPERCampos Racing,22,39:54.104,1.176,1.176,153.803,1:36.161,18,1011,2020,ROUND6Summary,,,229,A  Peroni,PER,Campos Racing,2394.104,96.161,1.176
322M. NanniniNANJenzer Motorsport,22,39:54.956,2.028,0.852,153.749,1:36.328,8,1011,2020,ROUND6Summary,,,322,M  Nannini,NAN,Jenzer Motorsport,2394.956,96.328,2.028
417R. VerschoorVERMP Motorsport,22,39:55.496,2.568,0.540,153.714,1:36.327,8,1011,2020,ROUND6Summary,,,417,R  Verschoor,VER,MP Motorsport,2395.496,96.327,2.568
53L. SargeantSARPREMA Racing,22,39:55.930,3.002,0.434,153.686,1:36.452,9,1011,2020,ROUND6Summary,,,53,L  Sargeant,SAR,PREMA Racing,2395.93,96.452,3.002
67T. PourchairePOUART Grand Prix,22,39:56.838,3.910,0.908,153.628,1:36.488,20,1011,2020,ROUND6Summary,,,67,T  Pourchaire,POU,ART Grand Prix,2396.838,96.488,3.91
75L. LawsonLAWHitech Grand Prix,22,39:57.751,4.823,0.913,153.569,1:36.558,11,1011,2020,ROUND6Summary,,,75,L  Lawson,LAW,Hitech Grand Prix,2397.751,96.558,4.823
814E. FittipaldiFITHWA RACELAB,22,39:58.293,5.365,0.542,153.535,1:36.518,11,1011,2020,ROUND6Summary,,,814,E  Fittipaldi,FIT,HWA RACELAB,2398.293,96.518,5.365
911D. BeckmannBECTrident,22,39:58.806,5.878,0.513,153.502,1:36.444,20,1011,2020,ROUND6Summary,,,911,D  Beckmann,BEC,Trident,2398.806,96.444,5.878
1015J. HughesHUGHWA RACELAB,22,39:59.541,6.613,0.735,153.455,1:36.408,20,1011,2020,ROUND6Summary,,,1015,J  Hughes,HUG,HWA RACELAB,2399.541,96.408,6.613
1126C. NovalakNOVCarlin Buzz Racing,22,40:00.144,7.216,0.603,153.416,1:36.531,20,1011,2020,ROUND6Summary,,,1126,C  Novalak,NOV,Carlin Buzz Racing,2400.144,96.531,7.216
128A. SmolyarSMOART Grand Prix,22,40:00.680,7.752,0.536,153.382,1:36.414,20,1011,2020,ROUND6Summary,,,128,A  Smolyar,SMO,ART Grand Prix,2400.68,96.414,7.752
139S. FernándezFERART Grand Prix,22,40:04.035,11.107,3.355,153.168,1:36.784,12,1011,2020,ROUND6Summary,,,139,S  Fernández,FER,ART Grand Prix,2404.035,96.784,11.107
1420C. WilliamsWILJenzer Motorsport,22,40:05.296,12.368,1.261,153.088,1:36.927,22,1011,2020,ROUND6Summary,,,1420,C  Williams,WIL,Jenzer Motorsport,2405.296,96.927,12.368
1516J. DoohanDOOHWA RACELAB,22,40:06.067,13.139,0.771,153.039,1:36.562,12,1011,2020,ROUND6Summary,,,1516,J  Doohan,DOO,HWA RACELAB,2406.067,96.562,13.139
1610L. ZendeliZENTrident,22,40:06.558,13.630,0.491,153.007,1:36.915,14,1011,2020,ROUND6Summary,,,1610,L  Zendeli,ZEN,Trident,2406.558,96.915,13.63
1728C. DasDASCarlin Buzz Racing,22,40:07.339,14.411,0.781,152.958,1:36.990,8,1011,2020,ROUND6Summary,,,1728,C  Das,DAS,Carlin Buzz Racing,2407.339,96.99,14.411
1824I. FragaFRACharouz Racing System,22,40:08.055,15.127,0.716,152.912,1:36.964,11,1011,2020,ROUND6Summary,,,1824,I  Fraga,FRA,Charouz Racing System,2408.055,96.964,15.127
1923R. StanekSTACharouz Racing System,22,40:08.605,15.677,0.550,152.877,1:36.986,11,1011,2020,ROUND6Summary,,,1923,R  Stanek,STA,Charouz Racing System,2408.605,96.986,15.677
2018B. ViscaalVISMP Motorsport,22,40:09.037,16.109,0.432,152.850,1:36.602,21,1011,2020,ROUND6Summary,,,2018,B  Viscaal,VIS,MP Motorsport,2409.037,96.602,16.109
212F. VestiVESPREMA Racing,22,40:11.878,18.950,2.841,152.670,1:36.997,11,1011,2020,ROUND6Summary,,,212,F  Vesti,VES,PREMA Racing,2411.878,96.997,18.95
2219L. DunnerDUNMP Motorsport,22,40:13.767,20.839,1.889,152.550,1:36.999,11,1011,2020,ROUND6Summary,,,2219,L  Dunner,DUN,MP Motorsport,2413.767,96.999,20.839
2331S. FloerschFLOCampos Racing,22,40:16.020,23.092,2.253,152.408,1:36.972,22,1011,2020,ROUND6Summary,,,2331,S  Floersch,FLO,Campos Racing,2416.02,96.972,23.092
2427L. PulciniPULCarlin Buzz Racing,22,40:26.036,33.108,10.016,151.779,1:37.601,8,1011,2020,ROUND6Summary,,,2427,L  Pulcini,PUL,Carlin Buzz Racing,2426.036,97.601,33.108
2525D. SchumacherSCHCharouz Racing System,22,41:17.833,84.905,51.797,148.606,1:36.129,10,1011,2020,ROUND6Summary,,,2525,D  Schumacher,SCH,Charouz Racing System,2477.833,96.129,84.905
266D. HaugerHAUHitech Grand Prix,19,40:59.299,3 LAPS,3 LAPS,129.284,1:35.706,5,1011,2020,ROUND6Summary,,,266,D  Hauger,HAU,Hitech Grand Prix,2459.299,95.706,
DNF21F. MalvestitiMALJenzer Motorsport,14,26:27.306,DNF,-,147.519,1:37.405,14,1011,2020,ROUND6Summary,,DNF,21,F  Malvestiti,MAL,Jenzer Motorsport,1587.306,97.405,
DNF30A. DeleddaDELCampos Racing,6,13:33.050,DNF,-,123.109,2:15.075,5,1011,2020,ROUND6Summary,,DNF,30,A  Deledda,DEL,Campos Racing,813.05,135.075,
DNF12O. CaldwellCALTrident,-,-,DNF,-,-,-,-,1011,2020,ROUND6Summary,,DNF,12,O  Caldwell,CAL,Trident,,,
DNF4M. FewtrellFEWHitech Grand Prix,-,-,DNF,-,-,-,-,1011,2020,ROUND6Summary,,DNF,4,M  Fewtrell,FEW,Hitech Grand Prix,,,
13L. SargeantSARPREMA Racing,17,37:52.233,-,-,188.448,2:06.865,3,1015,2020,ROUND7Summary,,,13,L  Sargeant,SAR,PREMA Racing,2272.233,126.865,
22F. VestiVESPREMA Racing,17,37:53.034,0.801,0.801,188.381,2:07.828,6,1015,2020,ROUND7Summary,,,22,F  Vesti,VES,PREMA Racing,2273.034,127.828,0.801
35L. LawsonLAWHitech Grand Prix,17,38:00.969,8.736,7.935,187.726,2:07.946,6,1015,2020,ROUND7Summary,,,35,L  Lawson,LAW,Hitech Grand Prix,2280.969,127.946,8.736
48A. SmolyarSMOART Grand Prix,17,38:01.713,9.480,0.744,187.665,2:07.932,6,1015,2020,ROUND7Summary,,,48,A  Smolyar,SMO,ART Grand Prix,2281.713,127.932,9.48
57T. PourchairePOUART Grand Prix,17,38:05.634,13.401,3.921,187.343,2:07.903,2,1015,2020,ROUND7Summary,,,57,T  Pourchaire,POU,ART Grand Prix,2285.634,127.903,13.401
61O. PiastriPIAPREMA Racing,17,38:08.390,16.157,2.756,187.117,2:07.852,7,1015,2020,ROUND7Summary,,,61,O  Piastri,PIA,PREMA Racing,2288.39,127.852,16.157
717R. VerschoorVERMP Motorsport,17,38:09.391,17.158,1.001,187.035,2:08.226,6,1015,2020,ROUND7Summary,,,717,R  Verschoor,VER,MP Motorsport,2289.391,128.226,17.158
810L. ZendeliZENTrident,17,38:15.646,23.413,6.255,186.526,2:08.293,2,1015,2020,ROUND7Summary,,,810,L  Zendeli,ZEN,Trident,2295.646,128.293,23.413
911D. BeckmannBECTrident,17,38:17.115,24.882,1.469,186.407,2:08.510,7,1015,2020,ROUND7Summary,,,911,D  Beckmann,BEC,Trident,2297.115,128.51,24.882
109S. FernándezFERART Grand Prix,17,38:17.778,25.545,0.663,186.353,2:08.159,2,1015,2020,ROUND7Summary,,,109,S  Fernández,FER,ART Grand Prix,2297.778,128.159,25.545
1112O. CaldwellCALTrident,17,38:19.898,27.665,2.120,186.181,2:08.780,2,1015,2020,ROUND7Summary,,,1112,O  Caldwell,CAL,Trident,2299.898,128.78,27.665
1214E. FittipaldiFITHWA RACELAB,17,38:23.662,31.429,3.764,185.877,2:09.103,3,1015,2020,ROUND7Summary,,,1214,E  Fittipaldi,FIT,HWA RACELAB,2303.662,129.103,31.429
1319L. DunnerDUNMP Motorsport,17,38:24.688,32.455,1.026,185.794,2:09.756,3,1015,2020,ROUND7Summary,,,1319,L  Dunner,DUN,MP Motorsport,2304.688,129.756,32.455
1427D. SchumacherSCHCarlin Buzz Racing,17,38:30.092,37.859,5.404,185.359,2:09.285,3,1015,2020,ROUND7Summary,,,1427,D  Schumacher,SCH,Carlin Buzz Racing,2310.092,129.285,37.859
1526C. NovalakNOVCarlin Buzz Racing,17,38:31.173,38.940,1.081,185.273,2:09.408,6,1015,2020,ROUND7Summary,,,1526,C  Novalak,NOV,Carlin Buzz Racing,2311.173,129.408,38.94
1618B. ViscaalVISMP Motorsport,17,38:33.279,41.046,2.106,185.104,2:09.264,6,1015,2020,ROUND7Summary,,,1618,B  Viscaal,VIS,MP Motorsport,2313.279,129.264,41.046
1715J. HughesHUGHWA RACELAB,17,38:35.958,43.725,2.679,184.89,2:09.180,6,1015,2020,ROUND7Summary,,,1715,J  Hughes,HUG,HWA RACELAB,2315.958,129.18,43.725
1823R. StanekSTACharouz Racing System,17,38:39.258,47.025,1.137,184.627,2:10.059,8,1015,2020,ROUND7Summary,,,1823,R  Stanek,STA,Charouz Racing System,2319.258,130.059,47.025
196D. HaugerHAUHitech Grand Prix,17,38:43.121,49.88,2.863,184.717,2:09.354,3,1015,2020,ROUND7Summary,,,196,D  Hauger,HAU,Hitech Grand Prix,2323.121,129.35399999999998,49.88
2031A. EstnerESTCampos Racing,17,38:43.880,51.647,0.237,184.26,2:10.219,9,1015,2020,ROUND7Summary,,,2031,A  Estner,EST,Campos Racing,2323.88,130.219,51.647
2129A. PeroniPERCampos Racing,17,38:44.125,51.892,0.245,184.24,2:08.426,2,1015,2020,ROUND7Summary,,,2129,A  Peroni,PER,Campos Racing,2324.125,128.426,51.892
2228C. DasDASCarlin Buzz Racing,17,38:48.749,56.516,4.624,183.874,2:10.202,9,1015,2020,ROUND7Summary,,,2228,C  Das,DAS,Carlin Buzz Racing,2328.749,130.202,56.516
2330A. DeleddaDELCampos Racing,17,38:49.717,57.484,0.968,183.798,2:10.875,7,1015,2020,ROUND7Summary,,,2330,A  Deledda,DEL,Campos Racing,2329.717,130.875,57.484
2421F. MalvestitiMALJenzer Motorsport,17,38:53.643,61.41,3.926,184.278,2:09.698,8,1015,2020,ROUND7Summary,,,2421,F  Malvestiti,MAL,Jenzer Motorsport,2333.643,129.698,61.41
2520C. WilliamsWILJenzer Motorsport,17,39:08.588,76.355,18.871,182.321,2:07.837,6,1015,2020,ROUND7Summary,,,2520,C  Williams,WIL,Jenzer Motorsport,2348.588,127.837,76.355
2622M. NanniniNANJenzer Motorsport,17,39:16.658,84.425,8.070,181.697,2:09.045,6,1015,2020,ROUND7Summary,,,2622,M  Nannini,NAN,Jenzer Motorsport,2356.658,129.045,84.425
2724I. FragaFRACharouz Racing System,16,38:18.155,1 LAP,1 LAP,175.351,2:09.764,6,1015,2020,ROUND7Summary,,,2724,I  Fraga,FRA,Charouz Racing System,2298.155,129.764,
