series,season,driver_name,driver_code,team_name,n_races,avg_finish,best_finish,worst_finish,finish_std,wins,win_rate,podiums,podium_rate,top10_finishes,top10_rate,dnf_count,dnf_rate,dns_count,dns_rate,dsq_count,dsq_rate,total_laps,avg_kph,avg_lap_time_s,avg_time_from_winner_s,avg_best_lap_from_best_s,driver_speed_mean,team_speed_mean,team_avg_pos_season_mean,driver_vs_team_mean,driver_vs_team_best,driver_vs_team_std,lap_vs_race_avg_mean,lap_vs_race_avg_std
F3,2020,F  Malvestiti,MAL,Jenzer Motorsport,9,19.857142857142858,13.0,24.0,4.450789122113495,0,0.0,0,0.0,0,0.0,2,0.2222222222222222,0,0.0,0,0.0,181.0,169.18866666666665,112.14366666666666,26.149,1.4747777777777777,112.144,121.49808431027175,19.125,-9.354333333333333,-28.425,13.810739498665523,-1.7787777777777778,2.927463781918479
F3,2020,F  Vesti,VES,PREMA Racing,9,8.285714285714286,2.0,21.0,6.129553700835696,0,0.0,1,0.1111111111111111,6,0.6666666666666666,2,0.2222222222222222,0,0.0,0,0.0,180.0,170.4831111111111,111.22533333333334,7.518142857142856,0.9295555555555555,111.225,112.56030919658724,6.85,-1.3349999999999995,-19.871,13.205588409836192,-2.697,2.4218726741924312
F3,2020,I  Fraga,FRA,Charouz Racing System,8,18.5,10.0,27.0,6.4730209330729025,0,0.0,0,0.0,1,0.125,2,0.25,0,0.0,0,0.0,134.0,165.31725,115.671375,29.629666666666665,1.3902857142857141,115.671,114.37174159994416,17.955,1.2995000000000003,-20.516,18.72889107387682,0.6823750000000002,8.466999653064834
F3,2020,J  Doohan,DOO,HWA RACELAB,9,20.75,11.0,28.0,5.775564289066729,0,0.0,0,0.0,0,0.0,1,0.1111111111111111,0,0.0,0,0.0,168.0,155.52877777777778,124.54188888888888,37.733625,1.111125,124.54199999999999,115.80277714516784,14.32,8.738999999999999,-19.396,28.160132519219438,10.619333333333334,22.525584820377027
F3,2020,J  Hughes,HUG,HWA RACELAB,9,10.25,1.0,19.0,5.849297882163783,1,0.1111111111111111,1,0.1111111111111111,5,0.5555555555555556,1,0.1111111111111111,0,0.0,0,0.0,188.0,171.02366666666666,111.00522222222223,12.185875,0.7669999999999999,111.005,115.80277714516784,14.32,-4.797666666666666,-23.296,14.43879898052466,-2.917,3.3558225519237457
F3,2020,L  Dunner,DUN,MP Motorsport,9,17.833333333333332,13.0,23.0,4.070217029430577,0,0.0,0,0.0,0,0.0,3,0.3333333333333333,0,0.0,0,0.0,129.0,160.88785714285714,115.97414285714285,19.506333333333334,1.423,115.974,112.72042301120447,12.522,3.2537142857142856,-19.853,21.737071795393582,2.6455714285714285,12.726927147550095
F3,2020,L  Lawson,LAW,Hitech Grand Prix,9,3.7142857142857144,1.0,7.0,2.627691364061218,2,0.2222222222222222,4,0.4444444444444444,7,0.7777777777777778,2,0.2222222222222222,0,0.0,0,0.0,173.0,172.032,110.20355555555555,4.279428571428572,0.8223333333333334,110.203,112.2384644768338,10.864,-2.035111111111111,-19.758,13.764793327947611,-3.718777777777778,3.3692575138217684
F3,2020,L  Pulcini,PUL,Carlin Buzz Racing,1,24.0,24.0,24.0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22.0,151.779,110.274,33.108,1.895,110.274,112.38700142622928,16.273,-2.113,-2.113,,-0.909,
F3,2020,L  Sargeant,SAR,PREMA Racing,9,7.333333333333333,1.0,27.0,9.77070451229934,1,0.1111111111111111,2,0.2222222222222222,5,0.5555555555555556,3,0.3333333333333333,0,0.0,0,0.0,157.0,165.864125,114.450125,4.2989999999999995,0.532,114.44999999999999,112.56030919658724,6.85,1.889875,-16.492,15.345177050018961,-0.5387500000000002,5.250788940721193
F3,2020,L  Zendeli,ZEN,Trident,9,9.125,2.0,16.0,5.139135558215436,0,0.0,1,0.1111111111111111,5,0.5555555555555556,1,0.1111111111111111,0,0.0,0,0.0,171.0,169.316125,112.058625,8.132375,0.9196249999999999,112.058,111.81270581283422,9.708,0.2456250000000002,-19.149,14.278969119827945,-2.930375,2.354082225624245
