driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s,laps_clean,position,winner_time_s,best_race_lap_s,race_max_laps,rel_laps,time_from_winner_s,best_lap_from_best_s,avg_lap_time_s,finished,is_dnf,is_dns,is_dsq,position_clean,team_avg_pos_season,team_speed,driver_speed,driver_top10_rate,race_avg_lap_time_s,driver_vs_team,lap_vs_race_avg,session_round
518I. HadjarHADHitech Grand Prix,22,45:24.867,1.658,0.385,171.048,1:46.753,17,1032,2022,ROUND4Summary,,,518,I  Hadjar,HAD,Hitech Grand Prix,2724.867,106.753,1.658,22.0,5.0,2723.209,106.713,22.0,1.0,1.658,0.04,123.858,1,0,0,0,5.0,14.64,118.58528678994828,116.772,0.667,125.43326280041798,5.272,-1.576,4
65J. CrawfordCRAPREMA Racing,22,45:25.558,2.349,0.691,171.005,1:46.713,22,1032,2022,ROUND4Summary,,,65,J  Crawford,CRA,PREMA Racing,2725.558,106.713,2.349,22.0,6.0,2723.209,106.713,22.0,1.0,2.349,0.0,123.889,1,0,0,0,6.0,6.556,116.49405436371018,116.69,0.778,125.43326280041798,7.395,-1.544,4
77V. MartinsMARART Grand Prix,22,45:27.221,4.012,1.663,170.901,1:47.121,22,1032,2022,ROUND4Summary,,,77,V  Martins,MAR,ART Grand Prix,2727.221,107.121,4.012,22.0,7.0,2723.209,106.713,22.0,1.0,4.012,0.408,123.965,1,0,0,0,7.0,9.5,119.54236629086725,119.665,0.778,125.43326280041798,4.422,-1.469,4
81J. EdgarEDGTrident,22,45:27.867,4.658,0.646,170.860,1:47.266,20,1032,2022,ROUND4Summary,,,81,J  Edgar,EDG,Trident,2727.867,107.266,4.658,22.0,8.0,2723.209,106.713,22.0,1.0,4.658,0.553,123.994,1,0,0,0,8.0,8.261,117.86627889721112,118.447,0.571,125.43326280041798,6.128,-1.439,4
920D. VidalesVIDCampos Racing,22,45:29.056,5.847,1.189,170.786,1:46.898,22,1032,2022,ROUND4Summary,,,920,D  Vidales,VID,Campos Racing,2729.056,106.898,5.847,22.0,9.0,2723.209,106.713,22.0,1.0,5.847,0.185,124.048,1,0,0,0,9.0,16.545,118.69282157916206,117.903,0.5,125.43326280041798,5.355,-1.385,4
1031R. UshijimaUSHVan Amersfoort Racing,22,45:29.825,6.616,0.769,170.737,1:47.031,22,1032,2022,ROUND4Summary,,,1031,R  Ushijima,USH,Van Amersfoort Racing,2729.825,107.031,6.616,22.0,10.0,2723.209,106.713,22.0,1.0,6.616,0.318,124.083,1,0,0,0,10.0,14.0,116.6926409092164,117.037,0.333,125.43326280041798,7.39,-1.35,4
113Z. MaloneyMALTrident,22,45:31.220,8.011,1.395,170.650,1:47.280,22,1032,2022,ROUND4Summary,,,113,Z  Maloney,MAL,Trident,2731.22,107.28,8.011,22.0,11.0,2723.209,106.713,22.0,1.0,8.011,0.567,124.146,1,0,0,0,11.0,8.261,117.86627889721112,117.135,0.556,125.43326280041798,6.28,-1.287,4
1217K. FrederickFREHitech Grand Prix,22,45:33.087,9.878,1.867,170.534,1:47.497,18,1032,2022,ROUND4Summary,,,1217,K  Frederick,FRE,Hitech Grand Prix,2733.087,107.497,9.878,22.0,12.0,2723.209,106.713,22.0,1.0,9.878,0.784,124.231,1,0,0,0,12.0,14.64,118.58528678994828,117.502,0.333,125.43326280041798,5.646,-1.202,4
1324F. MalvestitiMALJenzer Motorsport,22,45:37.573,14.364,4.486,170.254,1:47.684,17,1032,2022,ROUND4Summary,,,1324,F  Malvestiti,MAL,Jenzer Motorsport,2737.573,107.684,14.364,22.0,13.0,2723.209,106.713,22.0,1.0,14.364,0.971,124.435,1,0,0,0,13.0,15.64,118.08503178367347,118.119,0.0,125.43326280041798,6.35,-0.998,4
1416F. PizziPIZCharouz Racing System,22,45:38.306,15.097,0.733,170.209,1:47.666,17,1032,2022,ROUND4Summary,,,1416,F  Pizzi,PIZ,Charouz Racing System,2738.306,107.666,15.097,22.0,14.0,2723.209,106.713,22.0,1.0,15.097,0.953,124.468,1,0,0,0,14.0,20.913,121.78714174023487,119.399,0.0,125.43326280041798,2.681,-0.965,4
1523I. CohenCOHJenzer Motorsport,22,45:38.800,15.591,0.494,170.178,1:48.014,17,1032,2022,ROUND4Summary,,,1523,I  Cohen,COH,Jenzer Motorsport,2738.8,108.014,15.591,22.0,15.0,2723.209,106.713,22.0,1.0,15.591,1.301,124.491,1,0,0,0,15.0,15.64,118.08503178367347,119.742,0.222,125.43326280041798,6.406,-0.942,4
1625W. AlataloALAJenzer Motorsport,22,45:39.771,16.562,0.971,170.118,1:47.373,20,1032,2022,ROUND4Summary,,,1625,W  Alatalo,ALA,Jenzer Motorsport,2739.771,107.373,16.562,22.0,16.0,2723.209,106.713,22.0,1.0,16.562,0.66,124.535,1,0,0,0,16.0,15.64,118.08503178367347,115.787,0.444,125.43326280041798,6.45,-0.898,4
1728E. TrulliTRUCarlin,22,45:40.311,17.102,0.540,170.084,1:47.976,20,1032,2022,ROUND4Summary,,,1728,E  Trulli,TRU,Carlin,2740.311,107.976,17.102,22.0,17.0,2723.209,106.713,22.0,1.0,17.102,1.263,124.56,1,0,0,0,17.0,16.957,117.87606165327249,118.276,0.0,125.43326280041798,6.684,-0.874,4
1811F. UgranUGRMP Motorsport,22,45:41.166,17.957,0.435,170.031,1:48.236,21,1032,2022,ROUND4Summary,,,1811,F  Ugran,UGR,MP Motorsport,2741.166,108.236,17.957,22.0,18.0,2723.209,106.713,22.0,1.0,17.957,1.523,124.598,1,0,0,0,18.0,12.304,117.034741826324,124.598,0.0,125.43326280041798,7.564,-0.835,4
1921H. YeanyYEACampos Racing,22,45:43.654,20.445,0.266,169.877,1:47.798,6,1032,2022,ROUND4Summary,,,1921,H  Yeany,YEA,Campos Racing,2743.654,107.798,20.445,22.0,19.0,2723.209,106.713,22.0,1.0,20.445,1.085,124.712,1,0,0,0,19.0,16.545,118.69282157916206,117.958,0.0,125.43326280041798,6.019,-0.722,4
2027B. BenavidesBENCarlin,22,45:45.731,17.522,0.420,170.058,1:48.263,19,1032,2022,ROUND4Summary,,,2027,B  Benavides,BEN,Carlin,2745.731,108.263,17.522,22.0,20.0,2723.209,106.713,22.0,1.0,22.522,1.55,124.806,1,0,0,0,20.0,16.957,117.87606165327249,118.344,0.0,125.43326280041798,6.93,-0.627,4
2114L. TóthTOTCharouz Racing System,22,45:47.513,24.304,3.859,169.638,1:48.844,18,1032,2022,ROUND4Summary,,,2114,L  Tóth,TOT,Charouz Racing System,2747.513,108.844,24.304,22.0,21.0,2723.209,106.713,22.0,1.0,24.304,2.131,124.887,1,0,0,0,21.0,20.913,121.78714174023487,128.35,0.0,125.43326280041798,3.1,-0.546,4
2212K. MainiMAIMP Motorsport,22,45:48.388,20.179,2.222,169.893,1:47.951,21,1032,2022,ROUND4Summary,,,2212,K  Maini,MAI,MP Motorsport,2748.388,107.951,20.179,22.0,22.0,2723.209,106.713,22.0,1.0,25.179,1.238,124.927,1,0,0,0,22.0,12.304,117.034741826324,112.784,0.222,125.43326280041798,7.892,-0.507,4
2322J. MartíMARCampos Racing,22,45:52.641,29.432,2.104,169.322,1:47.156,21,1032,2022,ROUND4Summary,,,2322,J  Martí,MAR,Campos Racing,2752.641,107.156,29.432,22.0,23.0,2723.209,106.713,22.0,1.0,29.432,0.443,125.12,1,0,0,0,23.0,16.545,118.69282157916206,118.217,0.0,125.43326280041798,6.427,-0.313,4
2415Z. ChovanecCHOCharouz Racing System,22,45:53.309,30.100,0.668,169.281,1:49.287,17,1032,2022,ROUND4Summary,,,2415,Z  Chovanec,CHO,Charouz Racing System,2753.309,109.287,30.1,22.0,24.0,2723.209,106.713,22.0,1.0,30.1,2.574,125.15,1,0,0,0,24.0,20.913,121.78714174023487,111.026,0.0,125.43326280041798,3.363,-0.283,4
258G. SaucySAUART Grand Prix,22,46:00.537,27.328,3.024,169.452,1:47.712,6,1032,2022,ROUND4Summary,,,258,G  Saucy,SAU,ART Grand Prix,2760.537,107.712,27.328,22.0,25.0,2723.209,106.713,22.0,1.0,37.328,0.999,125.479,1,0,0,0,25.0,9.5,119.54236629086725,118.404,0.111,125.43326280041798,5.937,0.046,4
DNF19N. AzmanAZMHitech Grand Prix,9,18:45.434,DNF,-,169.166,1:48.694,6,1032,2022,ROUND4Summary,,DNF,19,N  Azman,AZM,Hitech Grand Prix,1125.434,108.694,,9.0,,2723.209,106.713,22.0,0.409,,1.981,125.048,0,1,0,0,,14.64,118.58528678994828,121.481,0.0,125.43326280041798,6.463,-0.385,4
DNF30R. VillagómezVILVan Amersfoort Racing,9,18:45.839,DNF,-,169.105,1:48.639,7,1032,2022,ROUND4Summary,,DNF,30,R  Villagómez,VIL,Van Amersfoort Racing,1125.839,108.639,,9.0,,2723.209,106.713,22.0,0.409,,1.926,125.093,0,1,0,0,,14.0,116.6926409092164,116.893,0.0,125.43326280041798,8.401,-0.34,4
DNF2R. StanekSTATrident,9,18:59.969,DNF,-,167.009,1:48.137,6,1032,2022,ROUND4Summary,,DNF,2,R  Stanek,STA,Trident,1139.969,108.137,,9.0,,2723.209,106.713,22.0,0.409,,1.424,126.663,0,1,0,0,,8.261,117.86627889721112,116.81,0.667,125.43326280041798,8.797,1.23,4
DNF9J. CorreaJCOART Grand Prix,1,2:31.106,DNF,-,137.156,-,-,1032,2022,ROUND4Summary,,DNF,9,J  Correa,JCO,ART Grand Prix,151.106,,,1.0,,2723.209,106.713,22.0,0.045,,,151.106,0,1,0,0,,9.5,119.54236629086725,120.685,0.375,125.43326280041798,31.564,25.673,4
DNF29F. ColapintoCOLVan Amersfoort Racing,-,-,DNF,-,-,-,-,1032,2022,ROUND4Summary,,DNF,29,F  Colapinto,COL,Van Amersfoort Racing,,,,,,2723.209,106.713,22.0,,,,,0,1,0,0,,14.0,116.6926409092164,116.105,0.444,125.43326280041798,,,4
118I. HadjarHADHitech Grand Prix,25,40:34.535,-,-,159.441,1:32.041,24,1033,2022,ROUND5Summary,,,118,I  Hadjar,HAD,Hitech Grand Prix,2434.535,92.041,,25.0,1.0,2434.535,92.041,25.0,1.0,0.0,0.0,97.381,1,0,0,0,1.0,14.64,118.58528678994828,116.772,0.667,98.60146035963302,-21.204,-1.22,5
27V. MartinsMARART Grand Prix,25,40:37.786,3.251,3.251,159.229,1:32.557,11,1033,2022,ROUND5Summary,,,27,V  Martins,MAR,ART Grand Prix,2437.786,92.557,3.251,25.0,2.0,2434.535,92.041,25.0,1.0,3.251,0.516,97.511,1,0,0,0,2.0,9.5,119.54236629086725,119.665,0.778,98.60146035963302,-22.031,-1.09,5
36O. BearmanBEAPREMA Racing,25,40:39.416,4.881,1.630,159.122,1:32.842,23,1033,2022,ROUND5Summary,,,36,O  Bearman,BEA,PREMA Racing,2439.416,92.842,4.881,25.0,3.0,2434.535,92.041,25.0,1.0,4.881,0.801,97.577,1,0,0,0,3.0,6.556,116.49405436371018,116.329,1.0,98.60146035963302,-18.917,-1.025,5
44A. LeclercLECPREMA Racing,25,40:39.918,5.383,0.502,159.089,1:32.820,25,1033,2022,ROUND5Summary,,,44,A  Leclerc,LEC,PREMA Racing,2439.918,92.82,5.383,25.0,4.0,2434.535,92.041,25.0,1.0,5.383,0.779,97.597,1,0,0,0,4.0,6.556,116.49405436371018,116.463,0.667,98.60146035963302,-18.897,-1.005,5
53Z. MaloneyMALTrident,25,40:40.992,6.457,1.074,159.019,1:32.420,25,1033,2022,ROUND5Summary,,,53,Z  Maloney,MAL,Trident,2440.992,92.42,6.457,25.0,5.0,2434.535,92.041,25.0,1.0,6.457,0.379,97.64,1,0,0,0,5.0,8.261,117.86627889721112,117.135,0.556,98.60146035963302,-20.227,-0.962,5
112R. StanekSTATrident,25,40:42.602,8.067,1.610,158.915,1:32.709,25,1033,2022,ROUND5Summary,,,112,R  Stanek,STA,Trident,2442.602,92.709,8.067,25.0,6.0,2434.535,92.041,25.0,1.0,8.067,0.668,97.704,1,0,0,0,6.0,8.261,117.86627889721112,116.81,0.667,98.60146035963302,-20.162,-0.897,5
629F. ColapintoCOLVan Amersfoort Racing,25,40:43.648,9.113,1.046,158.847,1:32.854,15,1033,2022,ROUND5Summary,,,629,F  Colapinto,COL,Van Amersfoort Racing,2443.648,92.854,9.113,25.0,7.0,2434.535,92.041,25.0,1.0,9.113,0.813,97.746,1,0,0,0,7.0,14.0,116.6926409092164,116.105,0.444,98.60146035963302,-18.947,-0.856,5
711A. SmolyarSMOMP Motorsport,25,40:44.417,9.882,0.769,158.797,1:32.261,15,1033,2022,ROUND5Summary,,,711,A  Smolyar,SMO,MP Motorsport,2444.417,92.261,9.882,25.0,8.0,2434.535,92.041,25.0,1.0,9.882,0.22,97.777,1,0,0,0,8.0,12.304,117.034741826324,115.987,0.5,98.60146035963302,-19.258,-0.825,5
825W. AlataloALAJenzer Motorsport,25,40:45.387,10.852,0.970,158.734,1:33.040,19,1033,2022,ROUND5Summary,,,825,W  Alatalo,ALA,Jenzer Motorsport,2445.387,93.04,10.852,25.0,9.0,2434.535,92.041,25.0,1.0,10.852,0.999,97.815,1,0,0,0,9.0,15.64,118.08503178367347,115.787,0.444,98.60146035963302,-20.27,-0.786,5
923I. CohenCOHJenzer Motorsport,25,40:46.821,12.286,1.434,158.641,1:33.220,11,1033,2022,ROUND5Summary,,,923,I  Cohen,COH,Jenzer Motorsport,2446.821,93.22,12.286,25.0,10.0,2434.535,92.041,25.0,1.0,12.286,1.179,97.873,1,0,0,0,10.0,15.64,118.08503178367347,119.742,0.222,98.60146035963302,-20.212,-0.729,5
109J. CorreaJCOART Grand Prix,25,40:47.241,12.706,0.420,158.613,1:33.395,16,1033,2022,ROUND5Summary,,,109,J  Correa,JCO,ART Grand Prix,2447.241,93.395,12.706,25.0,11.0,2434.535,92.041,25.0,1.0,12.706,1.354,97.89,1,0,0,0,11.0,9.5,119.54236629086725,120.685,0.375,98.60146035963302,-21.653,-0.712,5
1220D. VidalesVIDCampos Racing,25,40:48.436,13.901,1.195,158.536,1:33.245,12,1033,2022,ROUND5Summary,,,1220,D  Vidales,VID,Campos Racing,2448.436,93.245,13.901,25.0,12.0,2434.535,92.041,25.0,1.0,13.901,1.204,97.937,1,0,0,0,12.0,16.545,118.69282157916206,117.903,0.5,98.60146035963302,-20.755,-0.664,5
1331R. UshijimaUSHVan Amersfoort Racing,25,40:48.630,14.095,0.194,158.523,1:32.592,19,1033,2022,ROUND5Summary,,,1331,R  Ushijima,USH,Van Amersfoort Racing,2448.63,92.592,14.095,25.0,13.0,2434.535,92.041,25.0,1.0,14.095,0.551,97.945,1,0,0,0,13.0,14.0,116.6926409092164,117.037,0.333,98.60146035963302,-18.747,-0.656,5
148G. SaucySAUART Grand Prix,25,40:49.273,14.738,0.643,158.482,1:33.413,18,1033,2022,ROUND5Summary,,,148,G  Saucy,SAU,ART Grand Prix,2449.273,93.413,14.738,25.0,14.0,2434.535,92.041,25.0,1.0,14.738,1.372,97.971,1,0,0,0,14.0,9.5,119.54236629086725,118.404,0.111,98.60146035963302,-21.571,-0.631,5
1530R. VillagómezVILVan Amersfoort Racing,25,40:49.977,15.442,0.704,158.436,1:33.184,11,1033,2022,ROUND5Summary,,,1530,R  Villagómez,VIL,Van Amersfoort Racing,2449.977,93.184,15.442,25.0,15.0,2434.535,92.041,25.0,1.0,15.442,1.143,97.999,1,0,0,0,15.0,14.0,116.6926409092164,116.893,0.0,98.60146035963302,-18.694,-0.602,5
1619N. AzmanAZMHitech Grand Prix,25,40:50.257,15.722,0.280,158.418,1:33.235,11,1033,2022,ROUND5Summary,,,1619,N  Azman,AZM,Hitech Grand Prix,2450.257,93.235,15.722,25.0,16.0,2434.535,92.041,25.0,1.0,15.722,1.194,98.01,1,0,0,0,16.0,14.64,118.58528678994828,121.481,0.0,98.60146035963302,-20.575,-0.591,5
1726Z. O'SullivanOSUCarlin,25,40:51.300,16.765,1.043,158.351,1:33.562,11,1033,2022,ROUND5Summary,,,1726,Z  O'Sullivan,OSU,Carlin,2451.3,93.562,16.765,25.0,17.0,2434.535,92.041,25.0,1.0,16.765,1.521,98.052,1,0,0,0,17.0,16.957,117.87606165327249,117.008,0.333,98.60146035963302,-19.824,-0.549,5
1828E. TrulliTRUCarlin,25,40:53.981,19.446,2.681,158.178,1:34.148,19,1033,2022,ROUND5Summary,,,1828,E  Trulli,TRU,Carlin,2453.981,94.148,19.446,25.0,18.0,2434.535,92.041,25.0,1.0,19.446,2.107,98.159,1,0,0,0,18.0,16.957,117.87606165327249,118.276,0.0,98.60146035963302,-19.717,-0.442,5
1914L. TóthTOTCharouz Racing System,25,40:55.903,21.368,1.922,158.054,1:34.202,10,1033,2022,ROUND5Summary,,,1914,L  Tóth,TOT,Charouz Racing System,2455.903,94.202,21.368,25.0,19.0,2434.535,92.041,25.0,1.0,21.368,2.161,98.236,1,0,0,0,19.0,20.913,121.78714174023487,128.35,0.0,98.60146035963302,-23.551,-0.365,5
2027B. BenavidesBENCarlin,25,40:58.808,24.273,2.905,157.867,1:34.183,12,1033,2022,ROUND5Summary,,,2027,B  Benavides,BEN,Carlin,2458.808,94.183,24.273,25.0,20.0,2434.535,92.041,25.0,1.0,24.273,2.142,98.352,1,0,0,0,20.0,16.957,117.87606165327249,118.344,0.0,98.60146035963302,-19.524,-0.249,5
211J. EdgarEDGTrident,25,41:25.214,50.679,26.406,156.19,1:32.513,24,1033,2022,ROUND5Summary,,,211,J  Edgar,EDG,Trident,2485.214,92.513,50.679,25.0,21.0,2434.535,92.041,25.0,1.0,50.679,0.472,99.409,1,0,0,0,21.0,8.261,117.86627889721112,118.447,0.571,98.60146035963302,-18.458,0.807,5
225J. CrawfordCRAPREMA Racing,25,41:34.914,60.379,9.700,155.583,1:32.201,25,1033,2022,ROUND5Summary,,,225,J  Crawford,CRA,PREMA Racing,2494.914,92.201,60.379,25.0,22.0,2434.535,92.041,25.0,1.0,60.379,0.16,99.797,1,0,0,0,22.0,6.556,116.49405436371018,116.69,0.778,98.60146035963302,-16.697,1.195,5
2317K. FrederickFREHitech Grand Prix,25,41:48.101,73.566,13.187,154.765,1:32.831,12,1033,2022,ROUND5Summary,,,2317,K  Frederick,FRE,Hitech Grand Prix,2508.101,92.831,73.566,25.0,23.0,2434.535,92.041,25.0,1.0,73.566,0.79,100.324,1,0,0,0,23.0,14.64,118.58528678994828,117.502,0.333,98.60146035963302,-18.261,1.723,5
2416F. PizziPIZCharouz Racing System,24,41:24.806,1 LAP,1 LAP,149.96,1:33.357,24,1033,2022,ROUND5Summary,,,2416,F  Pizzi,PIZ,Charouz Racing System,2484.806,93.357,,24.0,24.0,2434.535,92.041,25.0,0.96,50.271,1.316,103.534,1,0,0,0,24.0,20.913,121.78714174023487,119.399,0.0,98.60146035963302,-18.254,4.932,5
2624F. MalvestitiMALJenzer Motorsport,23,41:05.975,2 LAPS,182.112,144.801,1:33.703,16,1033,2022,ROUND5Summary,,,2624,F  Malvestiti,MAL,Jenzer Motorsport,2465.975,93.703,,23.0,25.0,2434.535,92.041,25.0,0.92,31.44,1.662,107.216,1,0,0,0,25.0,15.64,118.08503178367347,118.119,0.0,98.60146035963302,-10.869,8.615,5
2710C. ColletCCOMP Motorsport,22,36:06.811,3 LAPS,-,157.619,1:32.535,16,1033,2022,ROUND5Summary,,,2710,C  Collet,CCO,MP Motorsport,2166.811,92.535,,22.0,26.0,2434.535,92.041,25.0,0.88,-267.724,0.494,98.491,1,0,0,0,26.0,12.304,117.034741826324,120.904,0.556,98.60146035963302,-18.543,-0.11,5
DNF12K. MainiMAIMP Motorsport,23,38:03.863,DNF,-,156.347,1:33.013,11,1033,2022,ROUND5Summary,,DNF,12,K  Maini,MAI,MP Motorsport,2283.863,93.013,,23.0,,2434.535,92.041,25.0,0.92,,0.972,99.298,0,1,0,0,,12.304,117.034741826324,112.784,0.222,98.60146035963302,-17.736,0.697,5
DNF15Z. ChovanecCHOCharouz Racing System,18,29:04.227,DNF,-,160.158,1:33.984,11,1033,2022,ROUND5Summary,,DNF,15,Z  Chovanec,CHO,Charouz Racing System,1744.227,93.984,,18.0,,2434.535,92.041,25.0,0.72,,1.943,96.902,0,1,0,0,,20.913,121.78714174023487,111.026,0.0,98.60146035963302,-24.886,-1.7,5
DNF22J. MartíMARCampos Racing,17,27:34.081,DNF,-,159.489,1:33.317,9,1033,2022,ROUND5Summary,,DNF,22,J  Martí,MAR,Campos Racing,1654.081,93.317,,17.0,,2434.535,92.041,25.0,0.68,,1.276,97.299,0,1,0,0,,16.545,118.69282157916206,118.217,0.0,98.60146035963302,-21.394,-1.303,5
111A. SmolyarSMOMP Motorsport,24,45:02.423,-,-,140.013,1:49.785,21,1034,2022,ROUND6Summary,,,111,A  Smolyar,SMO,MP Motorsport,2702.423,109.785,,24.0,1.0,2702.423,98.07,24.0,1.0,0.0,11.715,112.601,1,0,0,0,1.0,12.304,117.034741826324,115.987,0.5,116.93873109903383,-4.434,-4.338,6
23Z. MaloneyMALTrident,24,45:07.983,5.560,5.560,139.725,1:50.379,24,1034,2022,ROUND6Summary,,,23,Z  Maloney,MAL,Trident,2707.983,110.379,5.56,24.0,2.0,2702.423,98.07,24.0,1.0,5.56,12.309,112.833,1,0,0,0,2.0,8.261,117.86627889721112,117.135,0.556,116.93873109903383,-5.034,-4.106,6
36O. BearmanBEAPREMA Racing,24,45:08.008,5.585,0.025,139.724,1:49.181,24,1034,2022,ROUND6Summary,,,36,O  Bearman,BEA,PREMA Racing,2708.008,109.181,5.585,24.0,3.0,2702.423,98.07,24.0,1.0,5.585,11.111,112.834,1,0,0,0,3.0,6.556,116.49405436371018,116.329,1.0,116.93873109903383,-3.66,-4.105,6
426Z. O'SullivanOSUCarlin,24,45:09.739,7.316,1.731,139.634,1:38.070,21,1034,2022,ROUND6Summary,,,426,Z  O'Sullivan,OSU,Carlin,2709.739,98.07,7.316,24.0,4.0,2702.423,98.07,24.0,1.0,7.316,0.0,112.906,1,0,0,0,4.0,16.957,117.87606165327249,117.008,0.333,116.93873109903383,-4.97,-4.033,6
55J. CrawfordCRAPREMA Racing,24,45:11.128,8.705,1.389,139.563,1:50.162,19,1034,2022,ROUND6Summary,,,55,J  Crawford,CRA,PREMA Racing,2711.128,110.162,8.705,24.0,5.0,2702.423,98.07,24.0,1.0,8.705,12.092,112.964,1,0,0,0,5.0,6.556,116.49405436371018,116.69,0.778,116.93873109903383,-3.53,-3.975,6
69J. CorreaJCOART Grand Prix,24,45:12.482,10.059,1.354,139.493,1:39.569,21,1034,2022,ROUND6Summary,,,69,J  Correa,JCO,ART Grand Prix,2712.482,99.569,10.059,24.0,6.0,2702.423,98.07,24.0,1.0,10.059,1.499,113.02,1,0,0,0,6.0,9.5,119.54236629086725,120.685,0.375,116.93873109903383,-6.522,-3.919,6
712K. MainiMAIMP Motorsport,24,45:13.001,10.578,0.519,139.467,1:49.678,23,1034,2022,ROUND6Summary,,,712,K  Maini,MAI,MP Motorsport,2713.001,109.678,10.578,24.0,7.0,2702.423,98.07,24.0,1.0,10.578,11.608,113.042,1,0,0,0,7.0,12.304,117.034741826324,112.784,0.222,116.93873109903383,-3.993,-3.897,6
84A. LeclercLECPREMA Racing,24,45:13.406,10.983,0.405,139.446,1:49.783,22,1034,2022,ROUND6Summary,,,84,A  Leclerc,LEC,PREMA Racing,2713.406,109.783,10.983,24.0,8.0,2702.423,98.07,24.0,1.0,10.983,11.713,113.059,1,0,0,0,8.0,6.556,116.49405436371018,116.463,0.667,116.93873109903383,-3.435,-3.88,6
910C. ColletCCOMP Motorsport,24,45:21.875,19.452,8.469,139.012,1:50.204,22,1034,2022,ROUND6Summary,,,910,C  Collet,CCO,MP Motorsport,2721.875,110.204,19.452,24.0,9.0,2702.423,98.07,24.0,1.0,19.452,12.134,113.411,1,0,0,0,9.0,12.304,117.034741826324,120.904,0.556,116.93873109903383,-3.623,-3.527,6
107V. MartinsMARART Grand Prix,24,45:22.037,19.614,0.162,139.004,1:49.930,24,1034,2022,ROUND6Summary,,,107,V  Martins,MAR,ART Grand Prix,2722.037,109.93,19.614,24.0,10.0,2702.423,98.07,24.0,1.0,19.614,11.86,113.418,1,0,0,0,10.0,9.5,119.54236629086725,119.665,0.778,116.93873109903383,-6.124,-3.521,6
118G. SaucySAUART Grand Prix,24,45:24.993,22.570,2.956,138.853,1:49.262,24,1034,2022,ROUND6Summary,,,118,G  Saucy,SAU,ART Grand Prix,2724.993,109.262,22.57,24.0,11.0,2702.423,98.07,24.0,1.0,22.57,11.192,113.541,1,0,0,0,11.0,9.5,119.54236629086725,118.404,0.111,116.93873109903383,-6.001,-3.397,6
122R. StanekSTATrident,24,45:25.450,23.027,0.457,138.83,1:49.032,24,1034,2022,ROUND6Summary,,,122,R  Stanek,STA,Trident,2725.45,109.032,23.027,24.0,12.0,2702.423,98.07,24.0,1.0,23.027,10.962,113.56,1,0,0,0,12.0,8.261,117.86627889721112,116.81,0.667,116.93873109903383,-4.306,-3.378,6
1320D. VidalesVIDCampos Racing,24,45:34.896,32.473,9.446,138.35,1:50.524,24,1034,2022,ROUND6Summary,,,1320,D  Vidales,VID,Campos Racing,2734.896,110.524,32.473,24.0,13.0,2702.423,98.07,24.0,1.0,32.473,12.454,113.954,1,0,0,0,13.0,16.545,118.69282157916206,117.903,0.5,116.93873109903383,-4.739,-2.985,6
1431R. UshijimaUSHVan Amersfoort Racing,24,45:37.910,35.487,3.014,138.198,1:50.260,24,1034,2022,ROUND6Summary,,,1431,R  Ushijima,USH,Van Amersfoort Racing,2737.91,110.26,35.487,24.0,14.0,2702.423,98.07,24.0,1.0,35.487,12.19,114.08,1,0,0,0,14.0,14.0,116.6926409092164,117.037,0.333,116.93873109903383,-2.613,-2.859,6
1529F. ColapintoCOLVan Amersfoort Racing,24,45:40.443,38.020,2.533,138.07,1:50.508,24,1034,2022,ROUND6Summary,,,1529,F  Colapinto,COL,Van Amersfoort Racing,2740.443,110.508,38.02,24.0,15.0,2702.423,98.07,24.0,1.0,38.02,12.438,114.185,1,0,0,0,15.0,14.0,116.6926409092164,116.105,0.444,116.93873109903383,-2.508,-2.754,6
1625W. AlataloALAJenzer Motorsport,24,45:41.955,39.532,1.512,137.994,1:51.162,24,1034,2022,ROUND6Summary,,,1625,W  Alatalo,ALA,Jenzer Motorsport,2741.955,111.162,39.532,24.0,16.0,2702.423,98.07,24.0,1.0,39.532,13.092,114.248,1,0,0,0,16.0,15.64,118.08503178367347,115.787,0.444,116.93873109903383,-3.837,-2.691,6
1723I. CohenCOHJenzer Motorsport,24,45:42.547,40.124,0.592,137.964,1:40.129,23,1034,2022,ROUND6Summary,,,1723,I  Cohen,COH,Jenzer Motorsport,2742.547,100.129,40.124,24.0,17.0,2702.423,98.07,24.0,1.0,40.124,2.059,114.273,1,0,0,0,17.0,15.64,118.08503178367347,119.742,0.222,116.93873109903383,-3.812,-2.666,6
1818I. HadjarHADHitech Grand Prix,24,45:43.065,40.642,0.518,137.938,1:39.290,24,1034,2022,ROUND6Summary,,,1818,I  Hadjar,HAD,Hitech Grand Prix,2743.065,99.29,40.642,24.0,18.0,2702.423,98.07,24.0,1.0,40.642,1.22,114.294,1,0,0,0,18.0,14.64,118.58528678994828,116.772,0.667,116.93873109903383,-4.291,-2.644,6
1928E. TrulliTRUCarlin,24,45:43.401,40.978,0.336,137.921,1:38.662,24,1034,2022,ROUND6Summary,,,1928,E  Trulli,TRU,Carlin,2743.401,98.662,40.978,24.0,19.0,2702.423,98.07,24.0,1.0,40.978,0.592,114.308,1,0,0,0,19.0,16.957,117.87606165327249,118.276,0.0,116.93873109903383,-3.568,-2.63,6
