series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,avg_best_lap_s,finish_std,points_std,dnf_count,dnf_rate
F3,2020,S  Fernández,FER,ART Grand Prix,9,,,15.11111111111111,8,24,0,0.0,0,0.0,,,1,0.1111111111111111,192.0,170.08855555555556,101.73588888888888,4.400126260814695,,,
F3,2020,S  Floersch,FLO,Campos Racing,8,,,19.0,1,25,1,0.125,1,0.125,,,1,0.125,161.0,170.442,98.825,7.727501906456298,,,
F3,2020,T  Pourchaire,POU,ART Grand Prix,9,,,10.11111111111111,3,30,0,0.0,1,0.1111111111111111,,,7,0.7777777777777778,192.0,170.4078888888889,101.37122222222223,7.849274559544412,,,
F3,2021,A  Cordeel,ACO,Campos Racing,7,,,19.714285714285715,1,29,1,0.14285714285714285,1,0.14285714285714285,,,1,0.14285714285714285,141.0,162.72885714285715,110.02885714285715,9.810101693565427,,,
F3,2021,A  Iwasa,IWA,Hitech Grand Prix,7,,,12.714285714285714,8,16,0,0.0,0,0.0,,,2,0.2857142857142857,144.0,164.1692857142857,109.63785714285714,2.811540841738193,,,
F3,2021,A  Leclerc,LEC,PREMA Racing,7,,,9.857142857142858,2,16,0,0.0,1,0.14285714285714285,,,2,0.2857142857142857,133.0,166.7634285714286,108.85242857142858,4.775931721614517,,,
F3,2021,A  Simmons,SIM,Charouz Racing System,1,,,25.0,25,25,0,0.0,0,0.0,,,0,0.0,20.0,175.241,117.437,,,,
F3,2021,A  Smolyar,SMO,ART Grand Prix,7,,,10.571428571428571,4,28,0,0.0,0,0.0,,,4,0.5714285714285714,144.0,164.31214285714285,109.25157142857142,8.18244345855081,,,
F3,2021,C  Collet,CCO,MP Motorsport,7,,,12.0,5,30,0,0.0,0,0.0,,,5,0.7142857142857143,124.0,162.69333333333333,107.81383333333333,9.201449161228174,,,
F3,2021,C  Novalak,NOV,Trident,7,,,5.714285714285714,1,8,1,0.14285714285714285,1,0.14285714285714285,,,7,1.0,133.0,167.35685714285714,108.88242857142858,2.4976179127511156,,,
F3,2021,C  Williams,WIL,Jenzer Motorsport,7,,,17.571428571428573,11,22,0,0.0,0,0.0,,,0,0.0,144.0,163.51542857142857,109.60657142857143,3.779644730092272,,,
F3,2021,D  Hauger,HAU,PREMA Racing,7,,,7.857142857142857,1,29,1,0.14285714285714285,2,0.2857142857142857,,,6,0.8571428571428571,144.0,164.43757142857143,108.443,9.633769968684316,,,
F3,2021,D  Schumacher,SCH,Trident,7,,,13.142857142857142,1,30,1,0.14285714285714285,1,0.14285714285714285,,,3,0.42857142857142855,141.0,164.70328571428573,109.316,9.26334301478272,,,
F3,2021,E  Fittipaldi,FIT,Charouz Racing System,4,,,15.75,12,20,0,0.0,0,0.0,,,0,0.0,86.0,157.4855,104.26325,3.5,,,
F3,2021,F  Ugran,UGR,Jenzer Motorsport,7,,,25.714285714285715,21,30,0,0.0,0,0.0,,,0,0.0,144.0,162.19142857142856,110.28228571428572,3.199702367110921,,,
F3,2021,F  Vesti,VES,ART Grand Prix,7,,,7.428571428571429,3,10,0,0.0,1,0.14285714285714285,,,7,1.0,144.0,164.9997142857143,108.97171428571428,2.5071326821120348,,,
F3,2021,H  Yeany,YEA,Charouz Racing System,2,,,24.0,24,24,0,0.0,0,0.0,,,0,0.0,35.0,149.878,117.0965,0.0,,,
F3,2021,I  Cohen,COH,Carlin Buzz,7,,,15.714285714285714,1,27,1,0.14285714285714285,2,0.2857142857142857,,,2,0.2857142857142857,137.0,162.62385714285713,110.15328571428572,10.193368525897704,,,
F3,2021,J  Correa,JCO,ART Grand Prix,7,,,17.857142857142858,12,29,0,0.0,0,0.0,,,0,0.0,144.0,163.57571428571427,109.621,5.814595756329395,,,
F3,2021,J  Crawford,CRA,Hitech Grand Prix,7,,,15.714285714285714,9,29,0,0.0,0,0.0,,,2,0.2857142857142857,144.0,163.53771428571432,109.32928571428572,7.040698017343775,,,
F3,2021,J  Doohan,DOO,Trident,7,,,7.428571428571429,2,27,0,0.0,2,0.2857142857142857,,,6,0.8571428571428571,143.0,164.20242857142856,108.70514285714286,8.791229395580249,,,
F3,2021,J  Edgar,EDG,Carlin Buzz,7,,,14.571428571428571,1,20,1,0.14285714285714285,1,0.14285714285714285,,,1,0.14285714285714285,139.0,163.3097142857143,110.626,6.451282633635548,,,
F3,2021,J  Hoggard,HOG,Jenzer Motorsport,6,,,19.833333333333332,10,28,0,0.0,0,0.0,,,1,0.16666666666666666,122.0,162.55083333333332,111.606,5.980523945831726,,,
F3,2021,J  Hughes,HUG,Carlin Buzz,1,,,16.0,16,16,0,0.0,0,0.0,,,0,0.0,20.0,130.118,108.37,,,,
F3,2021,K  Frederick,FRE,Carlin Buzz,4,,,22.25,17,29,0,0.0,0,0.0,,,0,0.0,85.0,166.07,107.727,5.123475382979799,,,
F3,2021,L  Colombo,LCO,Campos Racing,7,,,16.428571428571427,2,28,0,0.0,1,0.14285714285714285,,,1,0.14285714285714285,140.0,162.32199999999997,109.485,8.059303999253347,,,
F3,2021,L  Sargeant,SAR,Charouz Racing System,7,,,8.285714285714286,2,13,0,0.0,1,0.14285714285714285,,,6,0.8571428571428571,132.0,164.22357142857143,109.54471428571428,3.3022358947782497,,,
F3,2021,L  Tóth,TOT,Campos Racing,6,,,21.666666666666668,3,27,0,0.0,1,0.16666666666666666,,,1,0.16666666666666666,121.0,163.4525,107.11366666666667,9.244818368506039,,,
F3,2021,M  Nannini,NAN,HWA RACELAB,7,,,20.0,3,30,0,0.0,1,0.14285714285714285,,,2,0.2857142857142857,144.0,161.89014285714285,108.60171428571428,10.770329614269007,,,
F3,2021,O  Caldwell,CAL,PREMA Racing,7,,,9.0,1,16,1,0.14285714285714285,1,0.14285714285714285,,,3,0.42857142857142855,126.0,163.09471428571428,110.02114285714286,5.656854249492381,,,
F3,2021,O  Rasmussen,RAS,HWA RACELAB,7,,,20.0,3,28,0,0.0,1,0.14285714285714285,,,1,0.14285714285714285,142.0,162.78928571428574,109.84400000000001,8.346656017032611,,,
F3,2021,P  Chovet,CHO,Campos Racing,1,,,3.0,3,3,0,0.0,1,1.0,,,1,1.0,18.0,157.523,127.956,,,,
F3,2021,P  Chovet,CHO,Jenzer Motorsport,1,,,25.0,25,25,0,0.0,0,0.0,,,0,0.0,22.0,169.186,97.534,,,,
F3,2021,R  Stanek,STA,Hitech Grand Prix,7,,,18.0,10,27,0,0.0,0,0.0,,,1,0.14285714285714285,142.0,160.83614285714287,110.00714285714285,6.298147875897061,,,
F3,2021,R  Villagómez,VIL,HWA RACELAB,7,,,21.285714285714285,4,29,0,0.0,0,0.0,,,1,0.14285714285714285,118.0,144.61033333333333,104.10433333333333,8.994707438530833,,,
F3,2021,R  de Gerus,DEG,Charouz Racing System,4,,,22.5,19,24,0,0.0,0,0.0,,,0,0.0,86.0,156.76875,102.34225,2.380476142847616,,,
F3,2021,T  van der Helm,VAN,MP Motorsport,7,,,18.714285714285715,2,23,0,0.0,1,0.14285714285714285,,,1,0.14285714285714285,143.0,163.15642857142856,110.0067142857143,7.476948702830714,,,
F3,2021,V  Martins,MAR,MP Motorsport,7,,,13.571428571428571,3,30,0,0.0,1,0.14285714285714285,,,3,0.42857142857142855,144.0,164.20885714285714,108.68828571428571,10.469911538262757,,,
F3,2021,Z  Chovanec,CHO,Charouz Racing System,3,,,25.0,24,26,0,0.0,0,0.0,,,0,0.0,58.0,170.25333333333333,118.04533333333332,1.0,,,
F3,2022,A  Famularo,FAM,Charouz Racing System,1,,,25.0,25,25,0,0.0,0,0.0,,,0,0.0,15.0,180.869,100.405,,,,
F3,2022,A  Leclerc,LEC,PREMA Racing,9,,,10.444444444444445,4,19,0,0.0,0,0.0,,,6,0.6666666666666666,201.0,159.5342222222222,103.09100000000001,5.410894360249309,,,
F3,2022,A  Simmons,SIM,Charouz Racing System,1,,,21.0,21,21,0,0.0,0,0.0,,,0,0.0,23.0,157.243,112.564,,,,
F3,2022,A  Smolyar,SMO,MP Motorsport,8,,,12.125,2,25,0,0.0,2,0.25,,,3,0.375,178.0,157.408375,102.80012500000001,8.14927691796728,,,
F3,2022,B  Benavides,BEN,Carlin,9,,,15.222222222222221,1,24,1,0.1111111111111111,3,0.3333333333333333,,,3,0.3333333333333333,146.0,157.45711111111112,103.50577777777778,10.232030318780552,,,
F3,2022,C  Collet,CCO,MP Motorsport,9,,,10.444444444444445,1,22,1,0.1111111111111111,2,0.2222222222222222,,,5,0.5555555555555556,176.0,154.38555555555556,102.069875,6.578584785330183,,,
F3,2022,C  Mansell,MAN,Charouz Racing System,2,,,25.5,25,26,0,0.0,0,0.0,,,0,0.0,42.0,150.749,120.01849999999999,0.7071067811865476,,,
F3,2022,D  Schumacher,SCH,Charouz Racing System,2,,,20.5,19,22,0,0.0,0,0.0,,,0,0.0,50.0,151.73000000000002,91.311,2.1213203435596424,,,
F3,2022,D  Vidales,VID,Campos Racing,8,,,10.375,3,16,0,0.0,2,0.25,,,4,0.5,167.0,155.238875,104.077875,4.983902658989812,,,
F3,2022,E  Trulli,TRU,Carlin,9,,,24.555555555555557,21,28,0,0.0,0,0.0,,,0,0.0,200.0,157.148,102.68833333333333,2.697735676039774,,,
F3,2022,F  Colapinto,COL,Van Amersfoort Racing,9,,,16.22222222222222,7,30,0,0.0,0,0.0,,,2,0.2222222222222222,179.0,157.3395,102.706625,8.31831980897852,,,
F3,2022,F  Malvestiti,MAL,Jenzer Motorsport,8,,,24.875,17,29,0,0.0,0,0.0,,,0,0.0,176.0,156.345125,103.056375,4.189698250300543,,,
F3,2022,F  Pizzi,PIZ,Charouz Racing System,9,,,21.555555555555557,1,30,1,0.1111111111111111,1,0.1111111111111111,,,1,0.1111111111111111,154.0,154.23525,102.331,8.804985961248194,,,
F3,2022,F  Ugran,UGR,MP Motorsport,1,,,22.0,22,22,0,0.0,0,0.0,,,0,0.0,22.0,170.031,108.236,,,,
F3,2022,G  Saucy,SAU,ART Grand Prix,9,,,10.333333333333334,1,29,1,0.1111111111111111,2,0.2222222222222222,,,5,0.5555555555555556,182.0,157.16022222222222,103.35,9.069178573608527,,,
F3,2022,H  Yeany,YEA,Campos Racing,5,,,23.4,19,30,0,0.0,0,0.0,,,0,0.0,108.0,162.554,102.5136,4.03732584763727,,,
F3,2022,I  Cohen,COH,Jenzer Motorsport,9,,,16.0,1,24,1,0.1111111111111111,1,0.1111111111111111,,,1,0.1111111111111111,184.0,155.9681111111111,99.261625,6.5383484153110105,,,
